FID_1（网格编号）,FID_1_1,FID_1_1_1,Id,Are,Count_,Count_1,Count_2,,是否商业,工作2/住宅3,其他0,,FINAL 1商业 2工作 3住宅 0其他,,OBJECTID,FID_,COUNT,AREA,MEAN（人口密度）,
89,89,89,0,1000000,12,0,3,,0,3,3,,3,,49,89,1,754787.5404,3927.991699,0.000143206
90,90,90,0,1000000,1,0,2,,0,2,2,,2,,50,90,1,754787.5404,3411.020264,0.000124359
91,91,91,0,1000000,0,0,0,,0,3,0,,0,,51,91,1,754787.5404,2187.902832,7.97663E-05
92,92,92,0,1000000,0,0,0,,0,3,0,,0,,0,0,0,0,0,0
93,93,93,0,1000000,0,0,0,,0,3,0,,0,,0,0,0,0,0,0
94,94,94,0,1000000,0,0,0,,0,3,0,,0,,0,0,0,0,0,0
95,95,95,0,1000000,0,0,0,,0,3,0,,0,,0,0,0,0,0,0
96,96,96,0,1000000,0,0,0,,0,3,0,,0,,52,96,1,754787.5404,1125.864868,4.10466E-05
97,97,97,0,1000000,0,0,0,,0,3,0,,0,,53,97,1,754787.5404,1125.864746,4.10466E-05
98,98,98,0,1000000,0,0,0,,0,3,0,,0,,54,98,1,754787.5404,1125.864868,4.10466E-05
99,99,99,0,1000000,0,0,0,,0,3,0,,0,,55,99,1,754787.5404,1125.864868,4.10466E-05
100,100,100,0,1000000,0,0,0,,0,3,0,,0,,56,100,1,754787.5404,1125.864868,4.10466E-05
101,101,101,0,1000000,5,0,3,,0,3,3,,3,,57,101,2,1509575.081,1125.864868,4.10466E-05
102,102,102,0,1000000,3,0,0,,0,3,3,,3,,58,102,1,754787.5404,1343.049927,4.89647E-05
103,103,103,0,1000000,10,4,9,,1,1,1,,1,,59,103,1,754787.5404,1445.424316,5.26971E-05
104,104,104,0,1000000,12,4,5,,1,1,1,,1,,60,104,1,754787.5404,2084.880615,7.60103E-05
105,105,105,0,1000000,1,0,1,,0,3,3,,3,,61,105,1,754787.5404,2187.902832,7.97663E-05
106,106,106,0,1000000,2,0,1,,0,3,3,,3,,62,106,1,754787.5404,2187.902832,7.97663E-05
107,107,107,0,1000000,0,0,0,,0,3,0,,0,,63,107,2,1509575.081,2187.90271,7.97663E-05
108,108,108,0,1000000,0,0,0,,0,3,0,,0,,0,0,0,0,0,0
109,109,109,0,1000000,0,0,0,,0,3,0,,0,,0,0,0,0,0,0
110,110,110,0,1000000,0,0,0,,0,3,0,,0,,0,0,0,0,0,0
111,111,111,0,1000000,0,0,0,,0,3,0,,0,,0,0,0,0,0,0
112,112,112,0,1000000,0,0,0,,0,3,0,,0,,64,112,1,754787.5404,1125.864868,4.10466E-05
113,113,113,0,1000000,0,0,0,,0,3,0,,0,,65,113,1,754787.5404,1125.864746,4.10466E-05
114,114,114,0,1000000,0,0,0,,0,3,0,,0,,66,114,1,754787.5404,1125.864868,4.10466E-05
115,115,115,0,1000000,0,0,0,,0,3,0,,0,,67,115,1,754787.5404,1125.864746,4.10466E-05
116,116,116,0,1000000,0,0,0,,0,3,0,,0,,68,116,1,754787.5404,1125.864868,4.10466E-05
117,117,117,0,1000000,0,0,0,,0,3,0,,0,,69,117,1,754787.5404,1125.864868,4.10466E-05
118,118,118,0,1000000,0,0,0,,0,3,0,,0,,70,118,1,754787.5404,1125.864868,4.10466E-05
119,119,119,0,1000000,0,0,0,,0,3,0,,0,,71,119,2,1509575.081,1125.864807,4.10466E-05
120,120,120,0,1000000,0,0,0,,0,3,0,,0,,72,120,1,754787.5404,2187.902588,7.97663E-05
121,121,121,0,1000000,3,0,1,,0,3,3,,3,,73,121,1,754787.5404,2187.902832,7.97663E-05
122,122,122,0,1000000,5,0,0,,0,3,3,,3,,74,122,1,754787.5404,2187.902588,7.97663E-05
123,123,123,0,1000000,8,1,3,,1,1,1,,1,,75,123,1,754787.5404,2187.902832,7.97663E-05
124,124,124,0,1000000,5,1,2,,1,1,1,,1,,76,124,1,754787.5404,2187.902832,7.97663E-05
125,125,125,0,1000000,0,1,2,,1,1,1,,1,,77,125,2,1509575.081,2187.902832,7.97663E-05
126,126,126,0,1000000,0,0,1,,0,2,2,,2,,78,126,1,754787.5404,2187.902832,7.97663E-05
127,127,127,0,1000000,0,0,0,,0,3,0,,0,,79,127,1,754787.5404,1015.58197,3.7026E-05
128,128,128,0,1000000,0,0,0,,0,3,0,,0,,0,0,0,0,0,0
129,129,129,0,1000000,0,0,0,,0,3,0,,0,,0,0,0,0,0,0
130,130,130,0,1000000,0,0,0,,0,3,0,,0,,0,0,0,0,0,0
131,131,131,0,1000000,0,0,0,,0,3,0,,0,,80,131,2,1509575.081,862.0318604,3.14278E-05
132,132,132,0,1000000,0,0,0,,0,3,0,,0,,81,132,4,3019150.162,1125.864868,4.10466E-05
133,133,133,0,1000000,1,0,2,,0,2,2,,2,,82,133,2,1509575.081,1125.864868,4.10466E-05
134,134,134,0,1000000,0,0,0,,0,3,0,,0,,83,134,2,1509575.081,1125.864868,4.10466E-05
135,135,135,0,1000000,0,0,0,,0,3,0,,0,,84,135,2,1509575.081,1125.864868,4.10466E-05
136,136,136,0,1000000,0,0,0,,0,3,0,,0,,85,136,2,1509575.081,1124.239807,4.09874E-05
137,137,137,0,1000000,0,0,0,,0,3,0,,0,,86,137,2,1509575.081,1092.863953,3.98435E-05
138,138,138,0,1000000,0,0,0,,0,3,0,,0,,87,138,2,1509575.081,1087.335083,3.96419E-05
139,139,139,0,1000000,0,0,0,,0,3,0,,0,,88,139,4,3019150.162,1919.024078,6.99635E-05
140,140,140,0,1000000,0,0,0,,0,3,0,,0,,89,140,2,1509575.081,2187.90271,7.97663E-05
141,141,141,0,1000000,0,0,0,,0,3,0,,0,,90,141,2,1509575.081,2187.90271,7.97663E-05
142,142,142,0,1000000,0,0,0,,0,3,0,,0,,91,142,2,1509575.081,2187.902588,7.97663E-05
143,143,143,0,1000000,1,0,0,,0,3,3,,3,,92,143,2,1509575.081,2187.90271,7.97663E-05
144,144,144,0,1000000,2,0,5,,0,2,2,,2,,93,144,2,1509575.081,2187.902832,7.97663E-05
145,145,145,0,1000000,2,1,5,,1,1,1,,1,,94,145,4,3019150.162,1887.17926,6.88025E-05
146,146,146,0,1000000,0,0,0,,0,3,0,,0,,95,146,2,1509575.081,1103.612854,4.02354E-05
147,147,147,0,1000000,0,0,0,,0,3,0,,0,,96,147,2,1509575.081,1015.582001,3.7026E-05
148,148,148,0,1000000,0,0,0,,0,3,0,,0,,97,148,2,1509575.081,1015.58197,3.7026E-05
149,149,149,0,1000000,0,0,0,,0,3,0,,0,,98,149,1,754787.5404,1015.581909,3.7026E-05
150,150,150,0,1000000,0,0,0,,0,3,0,,0,,0,0,0,0,0,0
151,151,151,0,1000000,0,0,0,,0,3,0,,0,,0,0,0,0,0,0
152,152,152,0,1000000,0,0,0,,0,3,0,,0,,0,0,0,0,0,0
153,153,153,0,1000000,0,0,0,,0,3,0,,0,,0,0,0,0,0,0
154,154,154,0,1000000,0,0,0,,0,3,0,,0,,0,0,0,0,0,0
155,155,155,0,1000000,0,0,0,,0,3,0,,0,,0,0,0,0,0,0
156,156,156,0,1000000,0,0,0,,0,3,0,,0,,0,0,0,0,0,0
157,157,157,0,1000000,0,0,0,,0,3,0,,0,,0,0,0,0,0,0
158,158,158,0,1000000,0,0,0,,0,3,0,,0,,99,158,1,754787.5404,953.9814453,3.47801E-05
159,159,159,0,1000000,0,0,0,,0,3,0,,0,,0,0,0,0,0,0
160,160,160,0,1000000,0,0,0,,0,3,0,,0,,0,0,0,0,0,0
161,161,161,0,1000000,0,0,0,,0,3,0,,0,,0,0,0,0,0,0
162,162,162,0,1000000,0,0,0,,0,3,0,,0,,100,162,1,754787.5404,1013.860229,3.69632E-05
163,163,163,0,1000000,0,0,0,,0,3,0,,0,,101,163,1,754787.5404,1085.637207,3.958E-05
164,164,164,0,1000000,0,0,0,,0,3,0,,0,,102,164,2,1509575.081,1125.864807,4.10466E-05
165,165,165,0,1000000,1,1,2,,1,1,1,,1,,103,165,1,754787.5404,1125.864868,4.10466E-05
166,166,166,0,1000000,0,0,0,,0,3,0,,0,,104,166,1,754787.5404,1125.864868,4.10466E-05
167,167,167,0,1000000,0,0,0,,0,3,0,,0,,105,167,1,754787.5404,1118.520386,4.07789E-05
168,168,168,0,1000000,0,0,0,,0,3,0,,0,,106,168,1,754787.5404,1079.391235,3.93523E-05
169,169,169,0,1000000,0,0,0,,0,3,0,,0,,107,169,1,754787.5404,1012.057251,3.68975E-05
170,170,170,0,1000000,0,0,1,,0,2,2,,2,,108,170,1,754787.5404,1010.755676,3.685E-05
171,171,171,0,1000000,0,0,0,,0,3,0,,0,,109,171,2,1509575.081,1830.895447,6.67506E-05
172,172,172,0,1000000,1,0,0,,0,3,3,,3,,110,172,1,754787.5404,2187.902588,7.97663E-05
173,173,173,0,1000000,0,0,0,,0,3,0,,0,,111,173,1,754787.5404,2187.902832,7.97663E-05
174,174,174,0,1000000,0,0,0,,0,3,0,,0,,112,174,1,754787.5404,2187.902832,7.97663E-05
175,175,175,0,1000000,0,0,1,,0,2,2,,2,,113,175,1,754787.5404,2187.902588,7.97663E-05
176,176,176,0,1000000,0,0,2,,0,2,2,,2,,114,176,1,754787.5404,2187.902832,7.97663E-05
177,177,177,0,1000000,0,0,0,,0,3,0,,0,,115,177,2,1509575.081,1607.80304,5.86171E-05
178,178,178,0,1000000,0,0,0,,0,3,0,,0,,116,178,1,754787.5404,1015.582092,3.7026E-05
179,179,179,0,1000000,0,0,0,,0,3,0,,0,,117,179,1,754787.5404,1015.58197,3.7026E-05
180,180,180,0,1000000,0,0,0,,0,3,0,,0,,118,180,1,754787.5404,1015.582092,3.7026E-05
181,181,181,0,1000000,0,0,0,,0,3,0,,0,,119,181,1,754787.5404,1015.58197,3.7026E-05
182,182,182,0,1000000,0,0,0,,0,3,0,,0,,120,182,1,754787.5404,1015.582092,3.7026E-05
183,183,183,0,1000000,0,0,0,,0,3,0,,0,,121,183,1,754787.5404,1015.58197,3.7026E-05
184,184,184,0,1000000,0,0,0,,0,3,0,,0,,122,184,1,754787.5404,1015.582031,3.7026E-05
185,185,185,0,1000000,0,0,0,,0,3,0,,0,,123,185,1,754787.5404,877.9451294,3.2008E-05
186,186,186,0,1000000,0,0,0,,0,3,0,,0,,0,0,0,0,0,0
187,187,187,0,1000000,0,0,0,,0,3,0,,0,,124,187,1,754787.5404,1191.027466,4.34223E-05
188,188,188,0,1000000,0,0,1,,0,2,2,,2,,125,188,1,754787.5404,1258.843628,4.58948E-05
189,189,189,0,1000000,1,0,0,,0,3,3,,3,,126,189,1,754787.5404,1335.563843,4.86918E-05
190,190,190,0,1000000,1,0,0,,0,3,3,,3,,127,190,1,754787.5404,1361.242188,4.9628E-05
191,191,191,0,1000000,0,0,0,,0,3,0,,0,,128,191,2,1509575.081,1361.242249,4.9628E-05
192,192,192,0,1000000,0,0,0,,0,3,0,,0,,129,192,1,754787.5404,1361.242188,4.9628E-05
193,193,193,0,1000000,0,1,3,,1,1,1,,1,,130,193,1,754787.5404,1361.242188,4.9628E-05
194,194,194,0,1000000,2,0,0,,0,3,3,,3,,131,194,1,754787.5404,1361.242065,4.9628E-05
195,195,195,0,1000000,0,0,1,,0,2,2,,2,,132,195,1,754787.5404,1361.242188,4.9628E-05
196,196,196,0,1000000,1,0,0,,0,3,3,,3,,133,196,1,754787.5404,1125.864746,4.10466E-05
197,197,197,0,1000000,0,0,0,,0,3,0,,0,,134,197,1,754787.5404,1125.864746,4.10466E-05
198,198,198,0,1000000,0,0,0,,0,3,0,,0,,135,198,2,1509575.081,1125.864807,4.10466E-05
199,199,199,0,1000000,0,0,1,,0,2,2,,2,,136,199,1,754787.5404,1121.825073,4.08994E-05
200,200,200,0,1000000,0,0,1,,0,2,2,,2,,137,200,1,754787.5404,1110.233887,4.04768E-05
201,201,201,0,1000000,0,0,0,,0,3,0,,0,,138,201,1,754787.5404,1089.817627,3.97324E-05
202,202,202,0,1000000,0,0,0,,0,3,0,,0,,139,202,1,754787.5404,1010.755615,3.685E-05
203,203,203,0,1000000,0,0,0,,0,3,0,,0,,140,203,1,754787.5404,1010.755676,3.685E-05
204,204,204,0,1000000,0,0,0,,0,3,0,,0,,141,204,1,754787.5404,1010.755615,3.685E-05
205,205,205,0,1000000,0,0,0,,0,3,0,,0,,142,205,2,1509575.081,1644.082092,5.99397E-05
206,206,206,0,1000000,0,0,0,,0,3,0,,0,,143,206,1,754787.5404,2187.902832,7.97663E-05
207,207,207,0,1000000,0,0,1,,0,2,2,,2,,144,207,1,754787.5404,2187.902832,7.97663E-05
208,208,208,0,1000000,0,0,0,,0,3,0,,0,,145,208,1,754787.5404,2187.902832,7.97663E-05
209,209,209,0,1000000,0,0,0,,0,3,0,,0,,146,209,1,754787.5404,2187.902832,7.97663E-05
210,210,210,0,1000000,0,0,0,,0,3,0,,0,,147,210,1,754787.5404,2187.902832,7.97663E-05
211,211,211,0,1000000,0,0,0,,0,3,0,,0,,148,211,2,1509575.081,1259.471313,4.59176E-05
212,212,212,0,1000000,0,0,0,,0,3,0,,0,,149,212,1,754787.5404,1015.58197,3.7026E-05
213,213,213,0,1000000,0,0,0,,0,3,0,,0,,150,213,1,754787.5404,1015.58197,3.7026E-05
214,214,214,0,1000000,0,0,0,,0,3,0,,0,,151,214,1,754787.5404,1015.58197,3.7026E-05
215,215,215,0,1000000,0,0,0,,0,3,0,,0,,152,215,1,754787.5404,1015.58197,3.7026E-05
216,216,216,0,1000000,0,0,0,,0,3,0,,0,,153,216,1,754787.5404,1015.58197,3.7026E-05
217,217,217,0,1000000,0,0,0,,0,3,0,,0,,154,217,1,754787.5404,1015.581909,3.7026E-05
218,218,218,0,1000000,0,0,0,,0,3,0,,0,,155,218,2,1509575.081,946.7635193,3.4517E-05
219,219,219,0,1000000,0,0,0,,0,3,0,,0,,156,219,1,754787.5404,877.9451294,3.2008E-05
220,220,220,0,1000000,0,0,0,,0,3,0,,0,,157,220,1,754787.5404,877.9451294,3.2008E-05
221,221,221,0,1000000,0,0,0,,0,3,0,,0,,0,0,0,0,0,0
222,222,222,0,1000000,0,0,0,,0,3,0,,0,,0,0,0,0,0,0
223,223,223,0,1000000,0,0,0,,0,3,0,,0,,158,223,1,754787.5404,1297.039795,4.72873E-05
224,224,224,0,1000000,0,0,0,,0,3,0,,0,,159,224,1,754787.5404,1361.242188,4.9628E-05
225,225,225,0,1000000,0,0,0,,0,3,0,,0,,160,225,1,754787.5404,1361.242188,4.9628E-05
226,226,226,0,1000000,0,0,0,,0,3,0,,0,,161,226,1,754787.5404,1361.242188,4.9628E-05
227,227,227,0,1000000,0,0,0,,0,3,0,,0,,162,227,2,1509575.081,1361.242188,4.9628E-05
228,228,228,0,1000000,0,0,0,,0,3,0,,0,,163,228,1,754787.5404,1361.242188,4.9628E-05
229,229,229,0,1000000,2,0,0,,0,3,3,,3,,164,229,1,754787.5404,1361.242188,4.9628E-05
230,230,230,0,1000000,0,0,0,,0,3,0,,0,,165,230,1,754787.5404,1361.242188,4.9628E-05
231,231,231,0,1000000,0,0,0,,0,3,0,,0,,166,231,1,754787.5404,1361.242188,4.9628E-05
232,232,232,0,1000000,0,0,0,,0,3,0,,0,,167,232,1,754787.5404,1227.027954,4.47348E-05
233,233,233,0,1000000,0,0,0,,0,3,0,,0,,168,233,1,754787.5404,1125.864746,4.10466E-05
234,234,234,0,1000000,0,0,0,,0,3,0,,0,,169,234,2,1509575.081,1125.864868,4.10466E-05
235,235,235,0,1000000,1,0,0,,0,3,3,,3,,170,235,1,754787.5404,1066.452637,3.88806E-05
236,236,236,0,1000000,0,0,0,,0,3,0,,0,,171,236,1,754787.5404,1010.755676,3.685E-05
237,237,237,0,1000000,0,0,0,,0,3,0,,0,,172,237,1,754787.5404,1010.755615,3.685E-05
238,238,238,0,1000000,1,0,0,,0,3,3,,3,,173,238,1,754787.5404,1010.755615,3.685E-05
239,239,239,0,1000000,2,0,1,,0,3,3,,3,,174,239,1,754787.5404,1010.755615,3.685E-05
240,240,240,0,1000000,2,0,1,,0,3,3,,3,,175,240,1,754787.5404,1010.755615,3.685E-05
241,241,241,0,1000000,1,0,0,,0,3,3,,3,,176,241,2,1509575.081,1506.50824,5.49241E-05
242,242,242,0,1000000,0,0,0,,0,3,0,,0,,177,242,1,754787.5404,2187.902588,7.97663E-05
243,243,243,0,1000000,0,0,0,,0,3,0,,0,,178,243,1,754787.5404,2187.902832,7.97663E-05
244,244,244,0,1000000,1,0,1,,0,3,3,,3,,179,244,1,754787.5404,2187.902832,7.97663E-05
245,245,245,0,1000000,1,0,1,,0,3,3,,3,,180,245,1,754787.5404,2187.902832,7.97663E-05
246,246,246,0,1000000,0,0,0,,0,3,0,,0,,181,246,1,754787.5404,2065.898193,7.53182E-05
247,247,247,0,1000000,1,0,1,,0,3,3,,3,,182,247,2,1509575.081,1262.588074,4.60313E-05
248,248,248,0,1000000,1,0,0,,0,3,3,,3,,183,248,1,754787.5404,1015.581909,3.7026E-05
249,249,249,0,1000000,1,0,1,,0,3,3,,3,,184,249,1,754787.5404,1015.582031,3.7026E-05
250,250,250,0,1000000,6,0,3,,0,3,3,,3,,185,250,1,754787.5404,1015.581909,3.7026E-05
251,251,251,0,1000000,6,1,2,,1,1,1,,1,,186,251,1,754787.5404,1015.581909,3.7026E-05
252,252,252,0,1000000,2,0,0,,0,3,3,,3,,187,252,1,754787.5404,1015.582031,3.7026E-05
253,253,253,0,1000000,0,0,0,,0,3,0,,0,,188,253,1,754787.5404,1014.982483,3.70041E-05
254,254,254,0,1000000,0,0,0,,0,3,0,,0,,189,254,2,1509575.081,877.9451294,3.2008E-05
255,255,255,0,1000000,0,0,0,,0,3,0,,0,,190,255,1,754787.5404,877.9451294,3.2008E-05
256,256,256,0,1000000,0,0,0,,0,3,0,,0,,191,256,1,754787.5404,877.9450684,3.2008E-05
257,257,257,0,1000000,0,0,0,,0,3,0,,0,,192,257,1,754787.5404,877.9450684,3.2008E-05
258,258,258,0,1000000,0,0,0,,0,3,0,,0,,0,0,0,0,0,0
259,259,259,0,1000000,0,0,0,,0,3,0,,0,,193,259,1,754787.5404,923.8078613,3.36801E-05
260,260,260,0,1000000,0,0,0,,0,3,0,,0,,194,260,1,754787.5404,926.1311035,3.37648E-05
261,261,261,0,1000000,0,0,0,,0,3,0,,0,,195,261,1,754787.5404,867.8703613,3.16407E-05
262,262,262,0,1000000,0,0,0,,0,3,0,,0,,196,262,1,754787.5404,809.559021,2.95148E-05
263,263,263,0,1000000,0,0,0,,0,3,0,,0,,197,263,2,1509575.081,1322.87793,4.82293E-05
264,264,264,0,1000000,0,0,0,,0,3,0,,0,,198,264,1,754787.5404,1319.341064,4.81004E-05
265,265,265,0,1000000,0,0,0,,0,3,0,,0,,199,265,1,754787.5404,1361.242188,4.9628E-05
266,266,266,0,1000000,0,0,0,,0,3,0,,0,,200,266,1,754787.5404,1361.242188,4.9628E-05
267,267,267,0,1000000,1,0,0,,0,3,3,,3,,201,267,1,754787.5404,1361.242188,4.9628E-05
